input_id,model,quant_level,n_pairs,n_skipped_pairs,nli_contradiction_max_mean,nli_contradiction_max_mean_std,nli_contradiction_mean_mean,nli_contradiction_mean_mean_std,nli_contradiction_q90_mean,nli_contradiction_q90_mean_std
MAIN-078,Phi-4-mini-instruct,Q5_K_M,190,0,0.7614286863408881,0.1068937405018214,0.154374713655491,0.0445851191372568,0.4913927644405884,0.1296767526648101
MAIN-078,Phi-4-mini-instruct,Q6_K,190,0,0.7124480047618632,0.1230229197726802,0.1615160134238389,0.0319728170271339,0.4770882030894122,0.0939986245183257
MAIN-078,Qwen-MediCare-BD,Q3_K_M,190,0,0.7551238022372382,0.1630858653978267,0.2496267910834637,0.0822642144233228,0.6034560608699693,0.1577205681168667
MAIN-078,Qwen-MediCare-BD,Q4_K_M,190,0,0.9139398318248708,0.1051424921539687,0.2979832097819298,0.0812813106673741,0.7584441308177444,0.1607105145145752
MAIN-078,Qwen-MediCare-BD,Q5_K_M,190,0,0.612590250300684,0.2884029722276751,0.2395915347571485,0.1358276857953094,0.4952316440323659,0.2412881980872515
MAIN-078,Qwen-MediCare-BD,Q6_K,190,0,0.7908659876277829,0.1333033219225892,0.2226405053047105,0.0617563848825468,0.6109707688752845,0.1532800731681993
MAIN-079,Gemma-3-4B-it,Q3_K_M,190,0,0.9224131374306036,0.0561698065408623,0.1621758102774621,0.0304216944761016,0.5811142815158071,0.112602309116176
MAIN-079,Gemma-3-4B-it,Q4_K_M,190,0,0.925224757064637,0.0771380351291348,0.1938718690800434,0.0439503914118246,0.6727148907649521,0.1512217748937271
MAIN-079,Gemma-3-4B-it,Q5_K_M,190,0,0.8088096172784133,0.1050860033182429,0.1217739430844799,0.0324764612383747,0.4304679144569558,0.1371373880738127
MAIN-079,Gemma-3-4B-it,Q6_K,190,0,0.7867604242691868,0.0762807474810115,0.1116119320025512,0.0263060088188929,0.3918355602822021,0.1118996363468752
MAIN-079,Phi-4-mini-instruct,Q3_K_M,190,0,0.3679985042463833,0.2407992532040792,0.0784218547845895,0.0550138138081968,0.2143667744116441,0.1497963907772378
MAIN-079,Phi-4-mini-instruct,Q4_K_M,190,0,0.2422265598366819,0.2167867137040529,0.0438256867338581,0.0395502294714246,0.1229950898467884,0.1205084301287642
MAIN-079,Phi-4-mini-instruct,Q5_K_M,171,19,0.3428509004234266,0.2064577540653568,0.0670400277207461,0.0445985714479595,0.1993524675705019,0.152646825545133
MAIN-079,Phi-4-mini-instruct,Q6_K,190,0,0.2437403515023595,0.1959977691790415,0.0467007703177741,0.03829073286744,0.1262629278227687,0.1104256186823801
MAIN-079,Qwen-MediCare-BD,Q3_K_M,190,0,0.9180249757058452,0.1386510749003375,0.2482852452336917,0.0626397215443511,0.7247360377609423,0.1591613664827434
MAIN-079,Qwen-MediCare-BD,Q4_K_M,190,0,0.4671103340277342,0.3505762761481217,0.1924646381526975,0.1524152992209294,0.3761561947979672,0.2788293844760124
