input_id,model,quant_level,n_pairs,n_skipped_pairs_x,bertscore_f1_mean,bertscore_f1_std,rougeL_f1_mean,rougeL_f1_std,n_skipped_pairs_y,medcon_f1_mean,medcon_f1_std,mean_cui_count,n_skipped_numeric,numeric_jaccard_mean,numeric_jaccard_std,mean_fact_count
MAIN-031,Phi-4-mini-instruct,Q3_K_M,190,0,0.6491908321255132,0.031215643169092862,0.27005657040006054,0.05498665682245642,0,0.5813293322202003,0.08731374994752543,97.0,0,0.5917543859649123,0.28885707684237133,1.65
MAIN-031,Phi-4-mini-instruct,Q4_K_M,190,0,0.6659463330319053,0.036831837373121706,0.26768154168459657,0.051220225309963105,0,0.6464980108347563,0.0852131412025471,97.95,0,0.4152631578947369,0.21079987023332453,2.05
MAIN-031,Phi-4-mini-instruct,Q5_K_M,190,0,0.6821316104186209,0.021398647336619735,0.2689815138878095,0.04509222605959561,0,0.6152241723818228,0.08899751826156452,108.75,0,0.47517543859649114,0.2702076382434289,1.75
MAIN-031,Phi-4-mini-instruct,Q6_K,190,0,0.6665679821842595,0.03641999873938927,0.25492055159210497,0.05559987976640935,0,0.6294854517250296,0.07614309237010593,101.4,0,0.48947368421052634,0.23791857364888316,1.85
MAIN-031,Qwen-MediCare-BD,Q3_K_M,190,0,0.5792087562774357,0.07691610813689817,0.19997364754181415,0.09815319518840646,0,0.4777968420935283,0.13767667739077175,75.75,0,0.8140350877192982,0.24829004617193978,1.2
MAIN-031,Qwen-MediCare-BD,Q4_K_M,190,0,0.5878443037208758,0.05029975367935606,0.15912269188412775,0.05500569453777496,0,0.3774435829818576,0.17651882616262482,78.1,0,0.07802631578947368,0.20568773644541494,2.2
MAIN-031,Qwen-MediCare-BD,Q5_K_M,190,0,0.6740916310172332,0.06574654024358868,0.26725903905201565,0.10020283802133302,0,0.5639201163612381,0.17463280083736493,82.5,0,0.3866241360978203,0.28768585763117727,2.55
MAIN-031,Qwen-MediCare-BD,Q6_K,190,0,0.6372635027295664,0.060938290704901935,0.23928556783977484,0.07375042822787198,0,0.49424618922394237,0.12468634792517633,90.1,0,0.4117857142857143,0.23105952958238352,3.1
MAIN-032,Gemma-3-4B-it,Q3_K_M,190,0,0.7867034959165673,0.03171909806788723,0.5117836295548627,0.07906957265619154,0,0.6830070334162249,0.07138847190079914,125.95,0,0.63859649122807,0.2480406838049485,2.0
MAIN-032,Gemma-3-4B-it,Q4_K_M,190,0,0.8306495581802569,0.031059169693825144,0.6069894659969877,0.0778873558365675,0,0.7421897628061535,0.07787370708423799,133.05,0,0.8403508771929825,0.1930841145541787,2.75
MAIN-032,Gemma-3-4B-it,Q5_K_M,190,0,0.818236336896294,0.029989823911134986,0.5885518764275213,0.07135893863654617,0,0.724955332817771,0.062425806460824955,144.2,0,0.7210526315789474,0.25190876877455687,1.65
MAIN-032,Gemma-3-4B-it,Q6_K,190,0,0.7933543406034771,0.03966388107731658,0.538068628417106,0.08645820192162601,0,0.693144824982294,0.08015017481780075,152.2,0,0.7247368421052631,0.22850719648868345,2.5
MAIN-032,Phi-4-mini-instruct,Q3_K_M,190,0,0.6614204532221744,0.04688519110486908,0.265602142379401,0.06028978132502668,0,0.42059387096741724,0.11490334549162347,72.4,0,0.7017543859649121,0.2610235548824505,1.4
MAIN-032,Phi-4-mini-instruct,Q4_K_M,190,0,0.6847800941843736,0.04921040245445786,0.26379146623693767,0.09727174121879244,0,0.4409784807716626,0.128784138612597,67.6,0,0.5017543859649123,0.33825270917296213,1.5
MAIN-032,Phi-4-mini-instruct,Q5_K_M,190,0,0.6958477465729964,0.03836301836944227,0.298027887288439,0.08446975216241023,0,0.447853203324582,0.12597821077105859,55.45,0,0.5736842105263158,0.3498683631463104,1.35
MAIN-032,Phi-4-mini-instruct,Q6_K,190,0,0.6905577628236068,0.04195964177066672,0.301817684865482,0.08658625242449804,0,0.42635232090818725,0.1438221623640043,57.4,0,0.543859649122807,0.33919929085392864,1.4
MAIN-032,Qwen-MediCare-BD,Q3_K_M,190,0,0.5538838808473788,0.06749014400122691,0.18237626850704716,0.07151832478335515,0,0.22258155869952057,0.11207727356451701,35.15,0,0.6623266499582289,0.3395819562024536,1.65
MAIN-032,Qwen-MediCare-BD,Q4_K_M,190,0,0.589169726403136,0.04013332136993604,0.17070401774784721,0.044630532864507896,0,0.2396167363756682,0.10650239358814335,88.2,0,0.1486779448621554,0.24981651399936164,3.05
MAIN-032,Qwen-MediCare-BD,Q5_K_M,190,0,0.6312455453370747,0.040314965710050346,0.2038148001259371,0.05908134296873054,0,0.252146101804636,0.098604188298833,83.8,0,0.09403508771929825,0.272962666352136,1.85
MAIN-032,Qwen-MediCare-BD,Q6_K,190,0,0.642576789855957,0.06564311168187856,0.23981366890102862,0.10899678611337324,0,0.2890439690709644,0.1343033392818728,55.6,0,0.416222374117111,0.27729201476723214,2.55
MAIN-033,Gemma-3-4B-it,Q3_K_M,190,0,0.7937817815103029,0.020891028690020696,0.5047898439197904,0.0531582861864204,0,0.6959573380538652,0.045297783128537265,130.25,0,0.4605263157894737,0.49376508010416253,0.7
MAIN-033,Gemma-3-4B-it,Q4_K_M,190,0,0.7918609186222679,0.02304293840816233,0.511295110418806,0.059360359554901376,0,0.7097965006258077,0.05093835023996937,127.3,0,0.40789473684210525,0.47427559852726553,0.85
MAIN-033,Gemma-3-4B-it,Q5_K_M,190,0,0.8027226639421363,0.02376560200635717,0.5177182763513911,0.05816437164127469,0,0.6990488520476688,0.061813154181150756,127.85,0,0.33157894736842103,0.4720243823616103,0.95
MAIN-033,Gemma-3-4B-it,Q6_K,190,0,0.7959538259004292,0.02880629449284776,0.5131723982113544,0.0670726349617667,0,0.7022872395363455,0.05075274398230161,136.65,0,0.5952631578947368,0.48474472004243907,0.85
MAIN-033,Phi-4-mini-instruct,Q3_K_M,190,0,0.6292333850735112,0.02918105666013433,0.19819950159404204,0.039631628328519776,0,0.33490401324150126,0.09189499790178174,79.6,0,0.6368421052631579,0.48218037231442745,0.2
MAIN-033,Phi-4-mini-instruct,Q4_K_M,190,0,0.6424977616259926,0.037490176766839724,0.20648833730642943,0.044152362108138034,0,0.396434137626454,0.10691262695726664,70.75,0,0.9,0.30079260375911915,0.1
MAIN-033,Phi-4-mini-instruct,Q5_K_M,190,0,0.6419345458871439,0.0408621572530568,0.19803607584332272,0.053759198284916834,0,0.3760599850830905,0.11420704121289114,89.65,0,0.5,0.4960158727618966,0.35
MAIN-033,Phi-4-mini-instruct,Q6_K,190,0,0.6513862578492415,0.030508630994860522,0.20969168740393274,0.04248186992274969,0,0.47193035824823043,0.07879786357366575,97.0,0,0.5631578947368421,0.4946384776931451,0.3
MAIN-033,Qwen-MediCare-BD,Q3_K_M,190,0,0.5743723597965742,0.08644220445912577,0.1889576800769249,0.08675260512655321,0,0.29876259740361855,0.15343504186356569,51.85,0,0.55,0.44010781106627955,0.95
MAIN-033,Qwen-MediCare-BD,Q4_K_M,190,0,0.6202901281808552,0.04123041579280202,0.19631547373734495,0.04173528580618363,0,0.3008467634263639,0.12133240637097731,119.7,0,0.05482456140350877,0.1976087164123303,1.65
MAIN-033,Qwen-MediCare-BD,Q5_K_M,190,0,0.6536038859894401,0.04849705989060838,0.241369290403929,0.06161504988601963,0,0.35482145918511304,0.08928424346244379,103.05,0,0.10178571428571428,0.16109089855672049,2.6
MAIN-033,Qwen-MediCare-BD,Q6_K,190,0,0.6642327804314463,0.06233214557523791,0.2632600758236954,0.08610043791183204,0,0.3730455911922887,0.10411117077822551,68.95,0,0.08740601503759399,0.22413261277185154,1.8
MAIN-034,Gemma-3-4B-it,Q3_K_M,190,0,0.7993163758202603,0.02171193474318043,0.510897484320516,0.05131207022435321,0,0.7138132570939224,0.05269923355876262,151.95,0,0.7657894736842106,0.39726333395163343,0.95
MAIN-034,Gemma-3-4B-it,Q4_K_M,190,0,0.8188853856764342,0.028044771616079926,0.5445338660989466,0.09023530849856344,0,0.7242127910224925,0.0656657697521405,97.7,0,0.5842105263157895,0.4941597088776345,0.8
MAIN-034,Gemma-3-4B-it,Q5_K_M,10,180,0.8406879067420959,0.023288894934975102,0.621948418375246,0.06322184017311894,180,0.7776384802514767,0.05056264137624173,135.8,180,1.0,0.0,1.0
MAIN-034,Gemma-3-4B-it,Q6_K,190,0,0.7877383068988197,0.027880530015921005,0.5104765620701701,0.06533359741814154,0,0.7116058439862355,0.05497092145252308,143.3,0,1.0,0.0,1.0
MAIN-034,Phi-4-mini-instruct,Q3_K_M,190,0,0.6533083912573363,0.04634329121733436,0.21758789403556966,0.07500209748173232,0,0.36999925011160895,0.16266597189262735,74.65,0,0.37894736842105264,0.4864067009167758,0.55
MAIN-034,Phi-4-mini-instruct,Q4_K_M,190,0,0.6667214280680607,0.041526382195510206,0.231129924881,0.05981810956056197,0,0.42444165426402675,0.13992753283850337,72.2,0,0.29912280701754385,0.43559218896972,0.7
MAIN-034,Phi-4-mini-instruct,Q5_K_M,190,0,0.6647278832761865,0.03530170964952201,0.2249111567353839,0.052791382489104303,0,0.4327536707856446,0.10551629048934817,75.2,0,0.34122807017543855,0.350646854219839,1.4
MAIN-034,Phi-4-mini-instruct,Q6_K,190,0,0.6761389791965484,0.03575524473883555,0.22502717158464902,0.05459513325693423,0,0.3821442271491306,0.12549436638173142,64.9,0,0.29912280701754385,0.35031579287651105,1.45
MAIN-034,Qwen-MediCare-BD,Q3_K_M,190,0,0.5217994371527119,0.07870539866592745,0.11259095784371025,0.049692302948692785,0,0.20465869530193825,0.12634550859803248,36.25,0,0.29210526315789476,0.454478932374376,0.6
MAIN-034,Qwen-MediCare-BD,Q4_K_M,190,0,0.6137581001771124,0.07020663732454667,0.1870015315305118,0.0660933068294924,0,0.29937668070326634,0.13277584414507757,83.8,0,0.15403508771929825,0.3555284033074437,1.7
MAIN-034,Qwen-MediCare-BD,Q5_K_M,190,0,0.6407034506923274,0.03557848985435164,0.20407133971779168,0.04276092813268364,0,0.3234539246089533,0.06649482180671884,123.15,0,0.050817004632794115,0.11846409819509006,3.25
MAIN-034,Qwen-MediCare-BD,Q6_K,190,0,0.6349997667889846,0.034855236536871045,0.2067871097349844,0.06326806713657458,0,0.3356290786772095,0.10263020323482423,101.2,0,0.038321561479456215,0.11073823384844729,2.85
MAIN-035,Gemma-3-4B-it,Q3_K_M,190,0,0.7483084907657221,0.020230136573648774,0.3903353658474433,0.0491473445773404,0,0.6205244032277657,0.06741785680441958,128.8,0,1.0,0.0,0.0
